Name,Year,Quarter,Cash and Due from Banks,Goodwill,Income Before Tax,Interest Income,Loans,Net Income,Net Interest Income,Net Loans,Non-Interest Income,Retained Earnings,Tax Expense,Total Assets,Total Liabilities,Total Stockholders Equity,Interest_Rate,Stock_Price
HTBK,2021,Dec. 31,15.7,167.6,38.0,38.0,3087.3,14.0,38.7,3044.0,2.8,111.3,19.3,5499.4,4901.4,598.0,0.125,10.472
HTBK,2022,Mar. 31,29.7,167.6,38.2,38.2,3024.1,12.9,38.8,2981.3,2.5,116.3,18.0,5427.4,4826.3,601.1,0.375,9.97
HTBK,2022,Jun. 30,35.8,167.6,41.9,41.9,3082.5,14.8,42.1,3037.0,2.1,123.3,21.0,5356.8,4749.6,607.2,1.625,9.586
HTBK,2022,Sep. 30,40.5,167.6,48.0,48.0,3216.5,18.1,47.0,3169.6,2.8,133.5,25.9,5431.3,4821.7,609.5,3.125,10.282
HTBK,2022,Dec. 31,27.6,167.6,51.8,51.8,3298.6,20.8,51.2,3251.0,2.7,146.4,29.5,5157.6,4525.1,632.5,4.375,11.895
HTBK,2023,Mar. 31,41.3,167.6,49.3,49.3,3261.9,18.9,49.2,3214.6,2.8,157.4,26.6,5536.5,4889.3,647.2,4.875,7.702
HTBK,2023,Jun. 30,42.6,167.6,46.3,46.3,3288.8,16.4,46.0,3241.0,2.1,165.9,23.1,5311.8,4658.2,653.7,5.125,7.796
HTBK,2023,Sep. 30,40.1,167.6,45.4,45.4,3285.5,15.8,45.2,3237.8,2.2,173.7,22.2,5403.3,4741.4,661.9,5.375,8.085
HTBK,2023,Dec. 31,41.6,167.6,42.2,42.2,3350.4,13.3,42.1,3302.4,1.9,179.1,18.5,5194.1,4521.2,672.9,5.375,9.612
HTBK,2024,Mar. 31,32.5,167.6,40.1,40.1,3336.1,10.2,39.9,3288.2,2.0,181.3,14.4,5256.1,4579.8,676.3,5.375,8.446
HWC,2018,Mar. 31,253.9,745.5,88.9,241.4,21.8,72.5,205.7,18881.8,66.3,1060.2,88.9,27297.3,24401.3,2896.0,1.625,43.169
HWC,2018,Jun. 30,355.1,745.5,87.1,252.3,36.0,71.2,211.5,19156.4,68.8,1110.5,87.1,27925.4,24995.9,2929.6,1.875,39.134
HWC,2018,Sep. 30,339.6,791.2,101.7,263.2,29.0,83.9,214.2,19329.2,75.5,1170.9,101.7,28098.2,25119.3,2978.9,2.125,40.077
HWC,2018,Dec. 31,383.4,791.0,104.4,271.4,28.1,96.2,217.4,19831.9,74.5,1243.6,104.4,28235.9,25154.6,3081.3,2.375,29.358
HWC,2019,Mar. 31,360.2,792.1,96.0,276.3,27.4,79.2,219.3,19918.2,70.5,1299.2,96.0,28490.2,25299.7,3190.6,2.375,34.46
HWC,2019,Jun. 30,365.2,792.1,107.5,280.4,36.1,88.3,219.9,19980.2,79.2,1363.9,107.5,28761.9,25442.9,3318.9,2.375,34.38
HWC,2019,Sep. 30,468.1,861.3,80.2,283.2,75.8,67.8,222.9,20840.4,83.2,1408.2,80.2,30543.5,26957.2,3586.4,1.875,33.101
HWC,2019,Dec. 31,432.1,855.5,109.0,285.9,55.9,92.1,233.1,21021.5,83.0,1476.2,109.0,30600.8,27133.1,3467.7,1.625,38.225
HWC,2020,Mar. 31,476.8,855.5,-134.6,277.3,67.6,-111.0,231.2,21089.7,84.4,1297.1,-134.6,31761.7,28340.6,3421.1,0.125,17.119
HWC,2020,Jun. 30,535.2,855.5,-191.6,266.3,364.4,-117.1,237.9,22185.7,73.9,1156.3,-191.6,33215.4,29899.2,3316.2,0.125,18.744
HWC,2020,Sep. 30,484.3,855.5,98.2,257.0,103.6,79.4,235.2,21791.5,83.7,1211.9,98.2,33193.3,29817.7,3375.6,0.125,16.823
HWC,2020,Dec. 31,526.3,855.5,103.3,257.4,136.1,103.5,238.2,21339.8,82.4,1291.5,103.3,33638.6,30199.6,3439.0,0.125,30.843
HWC,2021,Mar. 31,508.7,855.5,133.5,250.8,124.7,107.2,234.6,21240.5,87.1,1374.7,133.5,35072.6,31655.7,3416.9,0.125,38.439
HWC,2021,Jun. 30,501.6,855.5,109.4,248.3,90.0,88.7,234.6,20748.9,94.3,1439.6,109.4,35098.7,31535.8,3562.9,0.125,40.943
HWC,2021,Sep. 30,527.9,855.5,160.3,244.4,90.6,129.6,234.7,20514.5,93.4,1545.2,160.3,35318.3,31688.5,3629.8,0.125,43.65
HWC,2021,Dec. 31,401.2,855.5,164.9,238.8,93.1,137.7,229.3,20792.2,89.5,1659.1,164.9,36531.2,32860.9,3670.4,0.125,46.615
HWC,2022,Mar. 31,703.4,855.5,154.5,236.8,59.9,123.5,228.5,21005.5,83.4,1758.7,154.5,36317.3,32866.3,3451.0,0.375,48.87
HWC,2022,Jun. 30,698.3,855.5,154.0,254.9,44.3,121.4,245.7,21537.9,85.7,1856.5,154.0,34637.5,31287.8,3349.7,1.625,41.743
HWC,2022,Sep. 30,589.6,855.5,170.7,299.7,33.0,135.4,280.3,22279.5,85.3,1968.3,170.7,34567.2,31386.8,3180.4,3.125,43.368
HWC,2022,Dec. 31,564.5,855.5,180.0,345.7,26.4,143.8,295.5,22806.3,77.1,2088.4,180.0,35183.8,31841.2,3342.6,4.375,46.068
HWC,2023,Mar. 31,594.4,855.5,158.4,372.6,23.4,126.5,285.0,23095.1,80.3,2188.6,158.4,37547.1,34015.9,3531.2,4.875,34.825
HWC,2023,Jun. 30,563.7,855.5,147.4,405.3,55.9,117.8,273.9,23475.4,83.2,2280.0,147.4,36210.1,32655.7,3554.5,5.125,36.95
HWC,2023,Sep. 30,541.4,855.5,122.0,415.8,15.9,97.7,269.2,23677.4,86.0,2351.4,122.0,36298.3,32797.3,3501.0,5.375,35.894
HWC,2023,Dec. 31,561.2,855.5,62.3,426.8,26.1,50.6,269.5,23614.0,39.0,2375.6,62.3,35578.6,31774.9,3803.7,5.375,47.495
HWC,2024,Mar. 31,414.3,855.5,133.3,421.7,16.5,108.6,266.2,23657.2,87.9,2457.7,133.3,35247.1,31393.7,3853.4,5.375,45.316
ISTR,2018,Mar. 31,13.4,20.1,14.3,13.9,1273.0,2.4,13.9,1264.8,1.1,35.8,3.7,1644.2,1470.8,173.4,1.625,23.156
ISTR,2018,Jun. 30,21.3,20.0,14.9,14.3,1300.3,3.8,14.3,1291.9,1.2,39.3,4.8,1697.5,1520.2,177.2,1.875,24.802
ISTR,2018,Sep. 30,21.2,19.9,14.8,14.4,1358.4,4.0,14.4,1349.4,1.2,42.9,4.6,1735.3,1556.9,178.4,2.125,24.118
ISTR,2018,Dec. 31,15.9,19.8,15.1,14.8,1400.8,3.4,14.8,1391.4,0.8,45.7,4.1,1786.5,1604.2,182.3,2.375,22.315
ISTR,2019,Mar. 31,22.5,27.1,16.2,15.2,1494.9,3.9,15.2,1485.3,1.3,49.1,4.9,1961.9,1758.9,203.0,2.375,20.476
ISTR,2019,Jun. 30,30.4,26.4,17.7,16.3,1543.3,4.9,16.3,1533.4,1.7,53.5,6.2,1996.6,1791.1,205.5,2.375,21.554
ISTR,2019,Sep. 30,26.4,26.1,17.4,16.4,1586.3,4.7,16.4,1576.0,1.6,57.5,5.8,2018.0,1807.6,210.5,1.875,21.559
ISTR,2019,Dec. 31,23.8,31.0,17.8,16.9,1494.9,3.3,16.9,1485.3,1.6,60.2,4.1,2148.9,1906.9,242.0,1.625,21.795
